"","Code","Name","Postcode","Start","Close","Sector","CCG20CD","CCG20NM","STP20CD","STP20CDH","STP20NM","NHSER20CD","NHSER20CDH","NHSER20NM","STPCDH","latitude","longitude","Successor.Code","Organisation.Name","Latest.Status","Date.Of.Publication","Primary.Sector","Commissioner..From.ODS.","Successor.Status","Final.Status","Short.Status"
"77","08C","NHS HAMMERSMITH AND FULHAM CCG","NW1 5JD",2013-04-01,2021-03-31,"CCG","E38000070","NHS Hammersmith and Fulham CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Hammersmith and Fulham CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"78","08E","NHS HARROW CCG","HA1 3AW",2013-04-01,2021-03-31,"CCG","E38000074","NHS Harrow CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Harrow CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"79","08F","NHS HAVERING CCG","RM1 3AE",2013-04-01,2021-03-31,"CCG","E38000077","NHS Havering CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Havering CCG","19/20 Standards Exceeded","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"80","08G","NHS HILLINGDON CCG","UB8 1QG",2013-04-01,2021-03-31,"CCG","E38000082","NHS Hillingdon CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Hillingdon CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"81","08M","NHS NEWHAM CCG","E15 1DA",2013-04-01,2021-03-31,"CCG","E38000113","NHS Newham CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Newham CCG","19/20 Standards Met","29/09/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"82","08N","NHS REDBRIDGE CCG","RM1 3AE",2013-04-01,2021-03-31,"CCG","E38000138","NHS Redbridge CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Redbridge CCG","19/20 Standards Exceeded","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"83","08V","NHS TOWER HAMLETS CCG","E1 4DG",2013-04-01,2021-03-31,"CCG","E38000186","NHS Tower Hamlets CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Tower Hamlets CCG","19/20 Standards Met","30/09/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"84","08W","NHS WALTHAM FOREST CCG","E11 1HP",2013-04-01,2021-03-31,"CCG","E38000192","NHS Waltham Forest CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Waltham Forest CCG","19/20 Standards Met","29/09/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"85","08Y","NHS WEST LONDON CCG","NW1 5JD",2013-04-01,2021-03-31,"CCG","E38000202","NHS West London CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS West London CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"86","09A","NHS CENTRAL LONDON (WESTMINSTER) CCG","NW1 5JD",2013-04-01,2021-03-31,"CCG","E38000031","NHS Central London (Westminster) CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Central London (Westminster) CCG","19/20 Approaching Standards","14/10/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"87","09D","NHS BRIGHTON AND HOVE CCG","BN3 4AH",2013-04-01,,"CCG","E38000021","NHS Brighton and Hove CCG","E54000053","QNX","Sussex and East Surrey Health and Care Partnership","E40000005","Y59","South East",,,,,"NHS Brighton and Hove CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"88","10C","NHS SURREY HEATH CCG","GU15 3HD",2013-04-01,2021-03-31,"CCG","E38000178","NHS Surrey Heath CCG","E54000034","QNQ","Frimley Health and Care ICS","E40000005","Y59","South East",,,,"D4U1Y","NHS Surrey Heath CCG","20/21 Standards Exceeded","28/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"89","10J","NHS NORTH HAMPSHIRE CCG","RG24 8GU",2013-04-01,2021-03-31,"CCG","E38000120","NHS North Hampshire CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS North Hampshire CCG","20/21 Standards Exceeded","30/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"90","10K","NHS FAREHAM AND GOSPORT CCG","PO17 6AR",2013-04-01,2021-03-31,"CCG","E38000059","NHS Fareham and Gosport CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS Fareham and Gosport CCG","20/21 Standards Exceeded","30/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"91","10L","NHS ISLE OF WIGHT CCG","PO30 5XW",2013-04-01,2021-03-31,"CCG","E38000087","NHS Isle of Wight CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS Isle of Wight CCG","20/21 Standards Met","30/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"92","10Q","NHS OXFORDSHIRE CCG","OX4 2LH",2013-04-01,,"CCG","E38000136","NHS Oxfordshire CCG","E54000044","QU9","Buckinghamshire, Oxfordshire and Berkshire West","E40000005","Y59","South East",,,,,"NHS Oxfordshire CCG","20/21 Standards Exceeded","03/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"93","10R","NHS PORTSMOUTH CCG","PO1 2GJ",2013-04-01,,"CCG","E38000137","NHS Portsmouth CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,,"NHS Portsmouth CCG","20/21 Standards Exceeded","31/03/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"94","10V","NHS SOUTH EASTERN HAMPSHIRE CCG","PO17 6AR",2013-04-01,2021-03-31,"CCG","E38000154","NHS South Eastern Hampshire CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS South Eastern Hampshire CCG","20/21 Standards Exceeded","30/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"95","10X","NHS SOUTHAMPTON CCG","SO16 4GX",2013-04-01,2021-03-31,"CCG","E38000167","NHS Southampton CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS Southampton CCG","20/21 Standards Exceeded","03/08/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"96","11A","NHS WEST HAMPSHIRE CCG","SO50 5PB",2013-04-01,2021-03-31,"CCG","E38000198","NHS West Hampshire CCG","E54000042","QRL","Hampshire and the Isle of Wight","E40000005","Y59","South East",,,,"D9Y0V","NHS West Hampshire CCG","20/21 Standards Exceeded","30/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"97","11J","NHS DORSET CCG","DT1 1TG",2013-04-01,,"CCG","E38000045","NHS Dorset CCG","E54000041","QVV","Dorset","E40000006","Y58","South West",,,,,"NHS Dorset CCG","20/21 Standards Met","22/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"98","11M","NHS GLOUCESTERSHIRE CCG","GL3 4FE",2013-04-01,,"CCG","E38000062","NHS Gloucestershire CCG","E54000043","QR1","Gloucestershire","E40000006","Y58","South West",,,,,"NHS Gloucestershire CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"99","11N","NHS KERNOW CCG","PL25 5AS",2013-04-01,,"CCG","E38000089","NHS Kernow CCG","E54000036","QT6","Cornwall and the Isles of Scilly Health and Social Care Partnership","E40000006","Y58","South West",,,,,"NHS Kernow CCG","20/21 Standards Met","11/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"100","11X","NHS SOMERSET CCG","BA22 8HR",2013-04-01,,"CCG","E38000150","NHS Somerset CCG","E54000038","QSL","Somerset","E40000006","Y58","South West",,,,,"NHS Somerset CCG","20/21 Standards Exceeded","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"101","12F","NHS WIRRAL CCG","CH41 5AL",2013-04-01,,"CCG","E38000208","NHS Wirral CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Wirral CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"102","13T","NHS NEWCASTLE GATESHEAD CCG","NE15 8NY",2014-11-26,,"CCG","E38000212","NHS Newcastle Gateshead CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS Newcastle Gateshead CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"103","14L","NHS MANCHESTER CCG","M14 7LU",2017-04-01,,"CCG","E38000217","NHS Manchester CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Manchester CCG","20/21 Standards Exceeded","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"104","14Y","NHS BUCKINGHAMSHIRE CCG","HP20 1UA",2018-04-01,,"CCG","E38000223","NHS Buckinghamshire CCG","E54000044","QU9","Buckinghamshire, Oxfordshire and Berkshire West","E40000005","Y59","South East",,,,,"NHS Buckinghamshire CCG","20/21 Standards Exceeded","03/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"105","15A","NHS BERKSHIRE WEST CCG","RG30 2BA",2018-04-01,,"CCG","E38000221","NHS Berkshire West CCG","E54000044","QU9","Buckinghamshire, Oxfordshire and Berkshire West","E40000005","Y59","South East",,,,,"NHS Berkshire West CCG","20/21 Standards Exceeded","24/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"106","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG","BS1 3NX",2018-04-01,,"CCG","E38000222","NHS Bristol, North Somerset and South Gloucestershire CCG","E54000039","QUY","Bristol, North Somerset and South Gloucestershire","E40000006","Y58","South West",,,,,"NHS Bristol, North Somerset and South Gloucestershire CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"107","15D","NHS EAST BERKSHIRE CCG","SL4 3DP",2018-04-01,2021-03-31,"CCG","E38000224","NHS East Berkshire CCG","E54000034","QNQ","Frimley Health and Care ICS","E40000005","Y59","South East",,,,"D4U1Y","NHS East Berkshire CCG","20/21 Standards Exceeded","28/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"108","15E","NHS BIRMINGHAM AND SOLIHULL CCG","B4 6AR",2018-04-01,,"CCG","E38000220","NHS Birmingham and Solihull CCG","E54000017","QHL","Birmingham and Solihull","E40000008","Y60","Midlands",,,,,"NHS Birmingham and Solihull CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"109","15F","NHS LEEDS CCG","LS16 6EB",2018-04-01,,"CCG","E38000225","NHS Leeds CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,,"NHS LEEDS CCG","20/21 Standards Met","27/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"110","15M","NHS DERBY AND DERBYSHIRE CCG","DE1 3QT",2019-04-01,,"CCG","E38000229","NHS Derby and Derbyshire CCG","E54000012","QJ2","Joined Up Care Derbyshire","E40000008","Y60","Midlands",,,,,"NHS DERBY AND DERBYSHIRE CLINICAL COMMISSIONING GROUP","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"111","15N","NHS DEVON CCG","EX2 4QL",2019-04-01,,"CCG","E38000230","NHS Devon CCG","E54000037","QJK","Devon","E40000006","Y58","South West",,,,,"NHS Devon CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"112","16C","NHS TEES VALLEY CCG","TS3 6AL",2020-04-01,,"CCG","E38000247","NHS Tees Valley CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS TEES VALLEY CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"113","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG","WR3 7NS",2020-04-01,,"CCG","E38000236","NHS Herefordshire and Worcestershire CCG","E54000019","QGH","Herefordshire and Worcestershire","E40000008","Y60","Midlands",,,,,"NHS Herefordshire and Worcestershire CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"114","26A","NHS NORFOLK AND WAVENEY CCG","NR7 0WG",2020-04-01,,"CCG","E38000239","NHS Norfolk and Waveney CCG","E54000022","QMM","Norfolk and Waveney Health and Care Partnership","E40000007","Y61","East of England",,,,,"NHS NORFOLK & WAVENEY CCG","20/21 Standards Met","10/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"115","27D","NHS CHESHIRE CCG","CW5 5RD",2020-04-01,,"CCG","E38000233","NHS Cheshire CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Cheshire CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"116","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG","BD1 4AS",2020-04-01,,"CCG","E38000232","NHS Bradford District and Craven CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,,"NHS Bradford District and Craven CCG","20/21 Approaching Standards","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Approaching Standards","Approaching Standards"
"117","36L","NHS SOUTH WEST LONDON CCG","SW19 1RH",2020-04-01,,"CCG","E38000245","NHS South West London CCG","E54000031","QWE","South West London Health and Care Partnership","E40000003","Y56","London",,,,,"South West London CCG","20/21 Standards Met","08/04/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"118","42D","NHS NORTH YORKSHIRE CCG","HG5 8QB",2020-04-01,,"CCG","E38000241","NHS North Yorkshire CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS NORTH YORKSHIRE CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"119","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG","NG21 0HJ",2020-04-01,,"CCG","E38000243","NHS Nottingham and Nottinghamshire CCG","E54000014","QT1","Nottingham and Nottinghamshire Health and Care","E40000008","Y60","Midlands",,,,,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG","20/21 Standards Met","28/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"120","70F","NHS WEST SUSSEX CCG","BN11 1DJ",2020-04-01,,"CCG","E38000248","NHS West Sussex CCG","E54000053","QNX","Sussex and East Surrey Health and Care Partnership","E40000005","Y59","South East",,,,,"NHS West Sussex CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"121","71E","NHS LINCOLNSHIRE CCG","NG34 8GG",2020-04-01,,"CCG","E38000238","NHS Lincolnshire CCG","E54000013","QJM","Lincolnshire","E40000008","Y60","Midlands",,,,,"NHS LINCOLNSHIRE CCG","20/21 Standards Met","30/04/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"122","72Q","NHS SOUTH EAST LONDON CCG","SE1 2TZ",2020-04-01,,"CCG","E38000244","NHS South East London CCG","E54000030","QKK","Our Healthier South East London","E40000003","Y56","London",,,,,"NHS SOUTH EAST LONDON CCG","20/21 Standards Met","25/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"123","78H","NHS NORTHAMPTONSHIRE CCG","NN3 6BF",2020-04-01,,"CCG","E38000242","NHS Northamptonshire CCG","E54000020","QPM","Northamptonshire","E40000008","Y60","Midlands",,,,,"NHS NORTHAMPTONSHIRE CCG","20/21 Standards Exceeded","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"124","84H","NHS COUNTY DURHAM CCG","TS21 3EE",2020-04-01,,"CCG","E38000234","NHS County Durham CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS COUNTY DURHAM CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"125","91Q","NHS KENT AND MEDWAY CCG","TN9 1RE",2020-04-01,,"CCG","E38000237","NHS Kent and Medway CCG","E54000032","QKS","Kent and Medway","E40000005","Y59","South East",,,,,"NHS KENT AND MEDWAY CCG","20/21 Standards Met","31/03/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"126","92A","NHS SURREY HEARTLANDS CCG","KT13 8DP",2020-04-01,,"CCG","E38000246","NHS Surrey Heartlands CCG","E54000052","QXU","Surrey Heartlands Health and Care Partnership","E40000005","Y59","South East",,,,,"NHS Surrey Heartlands CCG","20/21 Standards Exceeded","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"127","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG","SN15 1GG",2020-04-01,,"CCG","E38000231","NHS Bath and North East Somerset, Swindon and Wiltshire CCG","E54000040","QOX","Bath and North East Somerset, Swindon and Wiltshire","E40000006","Y58","South West",,,,,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG","20/21 Standards Met","24/03/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"128","93C","NHS NORTH CENTRAL LONDON CCG","N1 1TH",2020-04-01,,"CCG","E38000240","NHS North Central London CCG","E54000028","QMJ","North London Partners in Health and Care","E40000003","Y56","London",,,,,"North Central London CCG","20/21 Standards Exceeded","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"129","97R","NHS EAST SUSSEX CCG","BN7 2PB",2020-04-01,,"CCG","E38000235","NHS East Sussex CCG","E54000053","QNX","Sussex and East Surrey Health and Care Partnership","E40000005","Y59","South East",,,,,"NHS East Sussex CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"130","99A","NHS LIVERPOOL CCG","L1 2SA",2013-04-01,,"CCG","E38000101","NHS Liverpool CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Liverpool CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"131","99C","NHS NORTH TYNESIDE CCG","NE29 7ST",2013-04-01,,"CCG","E38000127","NHS North Tyneside CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS North Tyneside CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"132","99E","NHS BASILDON AND BRENTWOOD CCG","SS14 3HG",2013-04-01,,"CCG","E38000007","NHS Basildon and Brentwood CCG","E54000026","QH8","Mid and South Essex","E40000007","Y61","East of England",,,,,"NHS Basildon and Brentwood CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"133","99F","NHS CASTLE POINT AND ROCHFORD CCG","SS6 7QF",2013-04-01,,"CCG","E38000030","NHS Castle Point and Rochford CCG","E54000026","QH8","Mid and South Essex","E40000007","Y61","East of England",,,,,"NHS Castle Point and Rochford CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"134","99G","NHS SOUTHEND CCG","SS2 6EN",2013-04-01,,"CCG","E38000168","NHS Southend CCG","E54000026","QH8","Mid and South Essex","E40000007","Y61","East of England",,,,,"NHS Southend CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"135","99M","NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG","GU11 1AY",2013-04-01,2021-03-31,"CCG","E38000118","NHS North East Hampshire and Farnham CCG","E54000034","QNQ","Frimley Health and Care ICS","E40000005","Y59","South East",,,,"D4U1Y","NHS North East Hampshire and Farnham CCG","20/21 Standards Exceeded","28/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Exceeded","Standards Exceeded"
"136","0AR","NHS North of England Commissioning Support Unit",,,,"CSU",,,,,,,,,,,,,"NHS NORTH OF ENGLAND CSU","20/21 Standards Exceeded","28/06/2021","Commissioning Support Unit (CSU)","",,"20/21 Standards Exceeded","Standards Exceeded"
"137","0CX","NHS Midlands and Lancashire Commissioning Support Unit",,,,"CSU",,,,,,,,,,,,,"Midlands and Lancashire CSU","20/21 Standards Met","28/07/2021","Commissioning Support Unit (CSU)","",,"20/21 Standards Met","Standards Met"
"138","0DE","NHS Arden and Greater East Midlands Commissioning Support Unit",,,,"CSU",,,,,,,,,,,,,"NHS ARDEN AND GREATER EAST MIDLANDS CSU","20/21 Standards Met","31/03/2021","Commissioning Support Unit (CSU)","",,"20/21 Standards Met","Standards Met"
"139","0DF","NHS South Central and West Commissioning Support Unit",,,,"CSU",,,,,,,,,,,,,"NHS South, Central and West CSU","20/21 Standards Exceeded","29/07/2021","Commissioning Support Unit (CSU)","",,"20/21 Standards Exceeded","Standards Exceeded"
"140","0DJ","NHS North and East London Commissioning Support Unit",,,,"CSU",,,,,,,,,,,,,"NHS NEL CSU","20/21 Standards Exceeded","04/08/2021","Commissioning Support Unit (CSU)","",,"20/21 Standards Exceeded","Standards Exceeded"
"141","TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST","BD18 3LD",2002-04-01,,"Trust",,,"E54000054",,"West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire","QWO",53.839675,-1.788605,,"BRADFORD DISTRICT CARE NHS FOUNDATION TRUST","20/21 Standards Exceeded","28/07/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"142","TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","NW1 0PE",2002-04-01,,"Trust",,,"E54000028",,"North London Partners in Health and Care","E40000003","Y56","London","QMJ",51.53665,-0.131658,,"CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","20/21 Standards Met","27/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"143","TAH","SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST","S10 3TH",2003-04-01,,"Trust",,,"E54000009",,"South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire","QF7",53.364484,-1.537421,,"Sheffield Health & Social Care NHS Foundation Trust","20/21 Approaching Standards","01/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"144","TAJ","BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST","DY2 8PS",2003-04-01,,"Trust",,,"E54000016",,"The Black Country and West Birmingham","E40000008","Y60","Midlands","QUA",52.508328,-2.084448,,"Black Country Healthcare NHS Foundation Trust","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"145","R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","M13 9WL",2017-10-01,,"Trust",,,"E54000007",,"Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West","QOP",53.462436,-2.227711,,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"146","R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST","SR4 7TP",2019-04-01,,"Trust",,,"E54000050",,"Cumbria and North East","E40000009","Y63","North East and Yorkshire","QHM",54.902214,-1.410327,,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST (R0B)","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"147","R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST","BH15 2JB",2020-10-01,,"Trust",,,"E54000041",,"Dorset","E40000006","Y58","South West","QVV",50.721987,-1.973117,,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST","20/21 Approaching Standards","24/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"148","R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST","WR5 1JR",2011-07-01,,"Trust",,,"E54000019",,"Herefordshire and Worcestershire","E40000008","Y60","Midlands","QGH",52.192339,-2.178135,,"Worcestershire Health and Care NHS Trust","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"149","R1C","SOLENT NHS TRUST","SO19 8BR",2011-04-01,,"Trust",,,"E54000042",,"Hampshire and the Isle of Wight","E40000005","Y59","South East","QRL",50.901628,-1.329869,,"Solent NHS Trust","20/21 Standards Not Met","30/06/2021","NHS Trust","",,"20/21 Standards Not Met","Standards Not Met"
"150","R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","SY3 8XL",2011-07-01,,"Trust",,,"E54000011",,"Shropshire and Telford and Wrekin","E40000008","Y60","Midlands","QOC",52.705844,-2.789366,,"Shropshire Community Health NHS Trust","20/21 Standards Met","21/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"151","R1F","ISLE OF WIGHT NHS TRUST","PO30 5TG",2012-04-01,,"Trust",,,"E54000042",,"Hampshire and the Isle of Wight","E40000005","Y59","South East","QRL",50.710843,-1.30133,,"ISLE OF WIGHT NHS TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"152","R1H","BARTS HEALTH NHS TRUST","E1 2ES",2012-04-01,,"Trust",,,"E54000029",,"East London Health and Care Partnership","E40000003","Y56","London","QMF",51.517167,-0.05605,,"Barts Health NHS Trust","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
