"","Code","Name","Start","Close","Prac_Status","Prescribing_Setting","validedition","open_at"
"800","B86030","BURTON CROFT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"801","B86031","WESTFIELD MEDICAL CENTRE",1974-04-01,2021-06-30,"C",4,"18/19","2019-03-31"
"802","B86032","CHEVIN MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"803","B86033","NEW MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"804","B86034","SPA SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"805","B86035","SOUTH BANK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"806","B86036","GIBSON LANE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"807","B86037","RADSHAN MEDICAL CENTRE",1974-04-01,2019-07-31,"C",4,"18/19","2019-03-31"
"808","B86038","GUISELEY AND YEADON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"809","B86039","ALLERTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"810","B86041","VESPER ROAD",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"811","B86042","LINGWELL CROFT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"812","B86043","EAST PARK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"813","B86044","IRELAND WOOD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"814","B86047","RAWDON SURGERY",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"815","B86048","GARFORTH MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"816","B86049","WOODHOUSE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"817","B86050","WEST LODGE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"818","B86051","AIRE VALLEY SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"819","B86052","PARK ROAD & MENSTON",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"820","B86054","THE GARDEN SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"821","B86055","ASHFIELD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"822","B86056","SHADWELL MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"823","B86057","WINDSOR HOUSE GROUP PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"824","B86058","DR KW MCGECHAEN & PARTNER",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"825","B86059","MEANWOOD HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"826","B86060","THORNTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"827","B86061","HAREHILLS CORNER SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"828","B86062","THE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"829","B86064","LEIGH VIEW MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"830","B86066","THE STREET LANE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"831","B86067","THE DEKEYSER GROUP PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"832","B86068","ABBEY GRANGE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"833","B86069","BURLEY PARK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"834","B86070","AIREBOROUGH FAMILY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"835","B86071","WHITEHALL SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"836","B86074","FIELDHEAD SURGERY",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"837","B86075","DR T P FOX & PARTNERS",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"838","B86077","GRANGE MEDICARE - NEW CROSS SURGERY",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"839","B86081","BELLBROOKE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"840","B86086","LAUREL BANK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"841","B86089","NOVA SCOTIA MEDICAL CNTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"842","B86092","KIPPAX HALL SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"843","B86093","PARK EDGE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"844","B86094","DR S M CHEN & PARTNER",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"845","B86095","SHAFTON LANE SURGERY",1974-04-01,2020-07-31,"C",4,"18/19","2019-03-31"
"846","B86096","ARTHINGTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"847","B86100","ST MARTINS PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"848","B86101","GILDERSOME HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"849","B86103","CONWAY MEDICAL CENTRE",1986-12-01,NA,"A",4,"18/19","2019-03-31"
"850","B86104","BRAMLEY VILLAGE HEALTH & WELLBEING CTR",1987-06-01,NA,"A",4,"18/19","2019-03-31"
"851","B86106","FOUNDRY LANE SURGERY",1989-01-01,NA,"A",4,"18/19","2019-03-31"
"852","B86108","CHAPELTOWN FAMILY SURGERY",1992-07-01,NA,"A",4,"18/19","2019-03-31"
"853","B86109","KIRKSTALL LANE MEDICAL CENTRE",1992-11-01,NA,"A",4,"18/19","2019-03-31"
"854","B86110","LEEDS STUDENT MEDICAL PRACTICE",1994-04-01,NA,"A",4,"18/19","2019-03-31"
"855","B86623","ASHTON VIEW MEDICAL CTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"856","B86625","WETHERBY SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"857","B86633","DR A KHAN & K MUNEER",1974-04-01,2021-06-30,"C",4,"18/19","2019-03-31"
"858","B86642","DR S HUSSAIN",1984-06-30,NA,"A",4,"18/19","2019-03-31"
"859","B86643","THE ROUNDHAY ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"860","B86648","FAMILY DOCTORS",1986-07-31,NA,"A",4,"18/19","2019-03-31"
"861","B86654","OAKWOOD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"862","B86655","BEECH TREE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"863","B86658","MOORFIELD HOUSE SURGERY",1988-01-04,NA,"A",4,"18/19","2019-03-31"
"864","B86666","NEWTON SURGERY",1990-12-01,NA,"A",4,"18/19","2019-03-31"
"865","B86667","BEESTON VILLAGE SURGERY",1991-10-01,NA,"A",4,"18/19","2019-03-31"
"866","B86669","YORK STREET HEALTH PRACTICE",1992-10-12,NA,"A",4,"18/19","2019-03-31"
"867","B86672","HAWTHORN SURGERY",1995-01-24,NA,"A",4,"18/19","2019-03-31"
"868","B86673","BRAMHAM MEDICAL CENTRE",1998-02-01,NA,"A",4,"18/19","2019-03-31"
"869","B86675","LINCOLN GREEN MEDICAL CENTRE",1999-07-01,NA,"A",4,"18/19","2019-03-31"
"870","B86678","DR F GUPTA'S PRACTICE",2001-04-01,NA,"A",4,"18/19","2019-03-31"
"871","B86682","GRANGE MEDICARE - MIDDLETON PARK",2002-10-01,2020-06-30,"C",4,"18/19","2019-03-31"
"872","B87001","MIDDLESTOWN",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"873","B87002","ORCHARD CROFT",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"874","B87003","COLLEGE LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"875","B87004","WARRENGATE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"876","B87005","RIVERSIDE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"877","B87006","PARK GREEN SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"878","B87007","NORTHGATE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"879","B87008","LUPSET HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"880","B87009","ST THOMAS ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"881","B87011","FRIARWOOD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"882","B87012","MAYBUSH MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"883","B87013","OUTWOOD PARK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"884","B87015","STUART ROAD",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"885","B87016","WHITE ROSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"886","B87017","TRINITY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"887","B87018","HENRY MOORE CLINIC",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"888","B87019","STANLEY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"889","B87020","CHAPELTHORPE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"890","B87021","ASH GROVE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"891","B87022","HOMESTEAD",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"892","B87023","ELIZABETH COURT SURGERY",1974-04-01,2019-11-30,"C",4,"18/19","2019-03-31"
"893","B87025","CASTLEFORD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"894","B87026","THE GRANGE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"895","B87027","NEW SOUTHGATE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"896","B87028","CROFTON AND SHARLSTON MED PRAC",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"897","B87030","HEALTH CARE FIRST PARTNERSHIP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"898","B87031","OSSETT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"899","B87032","STATION LANE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"900","B87033","NEWLAND SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"901","B87036","LANGTHWAITE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"902","B87039","KING'S MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"903","B87040","PROSPECT SURGERY",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"904","B87041","PARK VIEW SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"905","B87042","TIEVE TARA",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"906","B87044","ALVERTHORPE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"907","B87600","QUEEN STREET SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"908","B87602","PATIENCE LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"909","B87604","EASTMOOR HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"910","C81001","SPRINGS HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"911","C81002","THE VALLEYS MEDICAL PARTNERSHIP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"912","C81003","SETT VALLEY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"913","C81004","IVY GROVE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"914","C81005","JESSOP MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"915","C81006","HORIZON HEALTHCARE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"916","C81007","VERNON STREET MEDICAL CTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"917","C81008","ROYAL PRIMARY CARE SOUTH",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"918","C81009","WILSON STREET SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"919","C81010","THE MOIR MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"920","C81012","THE SURGERY AT WHEATBRIDGE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"921","C81013","BASLOW HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"922","C81014","DERWENT VALLEY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"923","C81015","NEWBOLD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"924","C81016","PEAK & DALES MEDICAL PARTNERSHIP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"925","C81017","ARTHUR MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"926","C81018","DOVE RIVER",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"927","C81019","WELLSIDE MEDICAL CENTRE",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"928","C81020","NEWHALL SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"929","C81021","OLD STATION SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"930","C81022","DR WEBB AND PARTNERS",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"931","C81023","THE AITUNE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"932","C81025","DRONFIELD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"933","C81026","ADAM HOUSE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"934","C81027","SOMERCOTES MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"935","C81028","IMPERIAL ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"936","C81029","STAFFA HEALTH",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"937","C81030","CREDAS MEDICAL",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"938","C81031","PARK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"939","C81032","SWADLINCOTE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"940","C81033","SHIRES HEALTHCARE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"941","C81034","STEWART MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"942","C81035","VILLAGE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"943","C81036","FRIAR GATE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"944","C81037","ASHBOURNE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"945","C81038","WHITEMOOR MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"946","C81039","EYAM SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"947","C81040","PARK LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"948","C81041","WELBECK ROAD HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"949","C81042","MICKLEOVER MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"950","C81044","WHITTINGTON MOOR SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"951","C81045","ROYAL PRIMARY CARE WEST",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"952","C81046","WEST HALLAM MEDICAL CTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"953","C81047","ALVASTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"954","C81048","APPLETREE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"955","C81049","KELVINGROVE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"956","C81050","THE VILLAGE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"957","C81051","THE PARK MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"958","C81052","BROOKLYN MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"959","C81053","PARKSIDE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"960","C81054","HOLLYBROOK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"961","C81055","NORTH WINGFIELD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"962","C81056","CLAY CROSS MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"963","C81057","WILLINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"964","C81058","THE BRIMINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"965","C81059","RIPLEY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"966","C81060","WOODVILLE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"967","C81061","LITTLEWICK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"968","C81062","HANNAGE BROOK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"969","C81063","THORNBROOK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"970","C81064","PARK FARM MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"971","C81065","BUXTON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"972","C81066","OVERDALE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"973","C81067","CHATSWORTH ROAD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"974","C81068","CHAPEL STREET MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"975","C81069","RIVERSDALE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"976","C81070","OAKHILL MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"977","C81071","OSMASTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"978","C81072","LISTER HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"979","C81073","MACKLIN STREET SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"980","C81074","ELMWOOD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"981","C81075","BRAILSFORD & HULLAND MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"982","C81076","TIDESWELL SURGERY",1974-04-01,2021-06-30,"C",4,"18/19","2019-03-31"
"983","C81077","HOWARD STREET MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"984","C81080","GOYT VALLEY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"985","C81081","MANOR HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"986","C81082","HARTINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"987","C81083","THE GOLDEN BROOK PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"988","C81084","INSPIRE HEALTH",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"989","C81086","THE SURGERY CLIFTON ROAD",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"990","C81087","HAVEN MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"991","C81089","STUBLEY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"992","C81090","ILKESTON HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"993","C81091","KILLAMARSH MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"994","C81092","EVELYN MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"995","C81094","CRICH MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"996","C81095","EMMETT CARR SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"997","C81096","CRAG'S HEALTH CARE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"998","C81097","COLLEGE STREET MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"999","C81099","LIMES MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1000","C81101","LIME GROVE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1001","C81104","OVERSEAL SURGERY",1974-04-01,2021-06-30,"C",4,"18/19","2019-03-31"
"1002","C81106","LAMBGATES HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1003","C81108","MELBOURNE & CHELLASTON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1004","C81110","WELLBROOK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1005","C81113","MICKLEOVER SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1006","C81114","GRESLEYDALE HEALTHCARE CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1007","C81115","GLADSTONE HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1008","C81118","DERBY FAMILY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1009","C81604","EDEN SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1010","C81611","ASHOVER MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1011","C81615","COTTAGE LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1012","C81616","PEARTREE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1013","C81634","ARDEN HOUSE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1014","C81638","CASTLE STREET MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1015","C81640","SIMMONDLEY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1016","C81642","PARK VIEW MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1017","C81647","ST LAWRENCE ROAD SURGERY",1985-10-06,NA,"A",4,"18/19","2019-03-31"
"1018","C81648","OAKWOOD SURGERY",1986-04-02,2021-06-30,"C",4,"18/19","2019-03-31"
"1019","C81649","CALOW AND BRIMINGTON PRACTICE",1987-06-03,NA,"A",4,"18/19","2019-03-31"
"1020","C81652","DERWENT MEDICAL CENTRE",1989-09-01,NA,"A",4,"18/19","2019-03-31"
"1021","C81653","BROOK MEDICAL CENTRE",1989-09-01,NA,"A",4,"18/19","2019-03-31"
"1022","C81654","HASLAND MEDICAL CENTRE",1989-08-07,2019-04-30,"C",4,"18/19","2019-03-31"
"1023","C81655","FAMILY FRIENDLY SURGERY",1989-12-04,NA,"A",4,"18/19","2019-03-31"
"1024","C81658","WINGERWORTH MEDICAL CENTRE",1991-01-30,NA,"A",4,"18/19","2019-03-31"
"1025","C81660","HADFIELD MEDICAL CENTRE",1993-05-24,NA,"A",4,"18/19","2019-03-31"
"1026","C81661","BLACKWELL MEDICAL CENTRE",1993-08-02,NA,"A",4,"18/19","2019-03-31"
"1027","C81662","BARLBOROUGH MEDICAL PRACTICE",1993-12-06,NA,"A",4,"18/19","2019-03-31"
"1028","C82001","SOUTH LEICESTERSHIRE MEDICAL PARTNERSHIP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1029","C82002","COUNTESTHORPE HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1030","C82003","GREENGATE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1031","C82005","GROBY ROAD MEDICAL CENTRE (ID PATCHETT)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1032","C82007","CASTLE DONINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1033","C82008","OAKMEADOW SURGERY (RA LEACH)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1034","C82009","MARKET HARBOROUGH MED.CTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1035","C82010","OAKHAM MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1036","C82011","PINFOLD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1037","C82012","IBSTOCK HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1038","C82013","BUSHLOE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1039","C82014","CASTLE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1040","C82016","LONG CLAWSON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1041","C82017","MEASHAM MEDICAL UNIT",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1042","C82018","PARKER DRIVE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1043","C82019","STURDEE ROAD HEALTH AND WELLBEING CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1044","C82020","DE MONTFORT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1045","C82021","THE CENTRAL SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1046","C82022","THE BILLESDON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1047","C82024","SPINNEY HILL MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1048","C82025","THE WYCLIFFE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1049","C82026","BRIDGE STREET MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1050","C82027","THE OLD SCHOOL SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1051","C82028","MARKFIELD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1052","C82029","WILLOWBROOK MEDICAL CENTRE (JG ASTLES)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1053","C82030","DOWNING DRIVE SURGERY (AJJ BENTLEY)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1054","C82031","JOHNSON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1055","C82032","DR NW OSBORNE'S PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1056","C82033","HUMBERSTONE MEDICAL CENTRE (IP JONES)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1057","C82034","QUORN MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1058","C82035","PARK VIEW SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1059","C82036","TWO SHIRES MEDICAL PRACTICE",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"1060","C82037","EAST PARK MEDICAL CENTRE (RP PANDYA)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1061","C82038","LATHAM HOUSE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1062","C82039","KINGSWAY SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"1063","C82040","ORCHARD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
