,Code,National Grouping,High Level Health Geography,lat,long,Organisation Name,Status,Date Of Publication,Primary Sector,"Integrated Care Board (where available, from ODS)"
121,RRP,Y56,QMJ,51.5798282,-0.0898069,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
122,RRU,Y56,QKK,51.50017,-0.10903,LONDON AMBULANCE SERVICE NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
123,RRV,Y56,QMJ,51.52573,-0.13741,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
124,RT1,Y61,QUE,52.1848097,0.188339,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
125,RT2,Y62,QOP,53.48581,-2.09998,PENNINE CARE NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
127,RT5,Y60,QK1,52.6765,-1.1030199,LEICESTERSHIRE PARTNERSHIP NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
128,RTD,Y63,QHM,55.002468,-1.5937828,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,03/07/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
129,RTE,Y58,QR1,51.8921411,-2.0719683,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
130,RTF,Y63,QHM,55.0264714,-1.4653033,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
131,RTG,Y60,QJ2,52.91076916923077,-1.5138255923076924,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
132,RTH,Y59,QU9,51.7649387,-1.2204422,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
133,RTK,Y59,QXU,51.3766453,-0.5262388,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
134,RTP,Y59,QXU,51.21919,-0.1620099,SURREY AND SUSSEX HEALTHCARE NHS TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
135,RTQ,Y58,QR1,51.8471078,-2.17648,Gloucestershire Health and Care NHS Foundation Trust,22/23 Standards Exceeded,30/06/2023,NHS Trust,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
136,RTR,Y63,QHM,54.55172303333334,-1.2146764666666665,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
137,RTX,Y62,QE1,54.3066377,-2.7324755,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
138,RV3,Y56,QMJ,51.52430765,-0.14213205,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
139,RV5,Y56,QKK,51.3826416,-0.0311969,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
140,RV9,Y63,QOQ,53.772057,-0.4446037,HUMBER TEACHING NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
141,RVJ,Y58,QUY,51.4967790875,-2.5921612625,NORTH BRISTOL NHS TRUST,22/23 Standards Met,13/06/2023,NHS Trust,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB"
142,RVN,Y58,QOX,51.3885999,-2.39231,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
143,RVR,Y56,QWE,51.380458825,-0.184936225,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
144,RVV,Y59,QKS,51.26644185,1.08817555,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Exceeded,06/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
145,RVW,Y63,QHM,54.7021082,-1.228027,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
146,RW1,Y59,QRL,50.93065535,-1.5274733,SOUTHERN HEALTH NHS FOUNDATION TRUST,22/23 Standards Exceeded,28/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
147,RW4,Y62,QYG,53.42402,-2.82642,MERSEY CARE NHS FOUNDATION TRUST,22/23 Standards Exceeded,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
148,RW5,Y62,QE1,53.71864585,-2.64102015,LANCASHIRE AND SOUTH CUMBRIA NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
149,RWA,Y63,QOQ,53.7439724,-0.3542056,Hull University Teaching Hospitals NHS Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
150,RWD,Y60,QJM,53.23358,-0.51964,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,22/23 Approaching Standards,13/07/2023,NHS Trust,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
151,RWE,Y60,QK1,52.6282994,-1.1356811,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
152,RWF,Y59,QKS,51.274735,0.484431,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
153,RWG,Y61,QM7,51.6489199,-0.40419,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
154,RWH,Y61,QM7,51.9244338,-0.2121547,EAST AND NORTH HERTFORDSHIRE NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
155,RWJ,Y62,QOP,53.38378,-2.1320199,STOCKPORT NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
156,RWK,Y56,QMF,51.51350176666667,-0.07228753333333333,EAST LONDON NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
157,RWP,Y60,QGH,52.1920982,-2.18398915,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,22/23 Approaching Standards,16/08/2023,NHS Trust,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
158,RWR,Y61,QM7,51.7669801,-0.2166447,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
159,RWV,Y58,QJK,50.7155182,-3.5064242,DEVON PARTNERSHIP NHS TRUST,22/23 Standards Exceeded,27/06/2023,NHS Trust,NHS DEVON INTEGRATED CARE BOARD
160,RWW,Y62,QYG,53.394512125,-2.610288075,Warrington and Halton Hospitals NHS Foundation Trust,22/23 Approaching Standards,10/08/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
161,RWX,Y59,QNQ,51.4162039,-0.739521,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,22/23 Standards Exceeded,28/06/2023,NHS Trust,NHS FRIMLEY INTEGRATED CARE BOARD
162,RWY,Y63,QWO,53.65547,-1.81634,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
163,RX1,Y60,QT1,52.9434616,-1.1854889294117645,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,22/23 Approaching Standards,17/08/2023,NHS Trust,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
164,RX2,Y59,QNX,50.8412951,-0.4110296,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
165,RX3,Y63,QHM,54.5432286,-1.5912038,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",22/23 Approaching Standards,30/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
166,RX4,Y63,QHM,55.00649,-1.6331,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
167,RX6,Y63,QHM,54.96877165,-1.7109424,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
168,RX7,Y62,QOP,53.579,-2.47581,NORTH WEST AMBULANCE SERVICE NHS TRUST,22/23 Approaching Standards,05/07/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
169,RX8,Y63,QWO,53.708506533333335,-1.5179028,YORKSHIRE AMBULANCE SERVICE NHS TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
170,RX9,Y60,QT1,52.98152207222222,-1.2381021611111112,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
171,RXA,Y62,QYG,53.2117014,-2.8992312,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,21/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
172,RXC,Y59,QNX,50.8882967,0.5615019,EAST SUSSEX HEALTHCARE NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
173,RXE,Y63,QF7,53.4948,-1.14598,"Rotherham, Doncaster and South Humber NHS Foundation Trust",22/23 Standards Met,30/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
174,RXF,Y63,QWO,53.6930006,-1.4881841923076924,Mid Yorkshire Teaching NHS Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
175,RXG,Y63,QWO,53.6983924125,-1.492420475,SOUTH WEST YORKSHIRE PARTNERSHIP FOUNDATION NHS TRUST,22/23 Standards Exceeded,30/08/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
176,RXK,Y60,QHL,52.4876369,-1.9302035,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
177,RXL,Y62,QE1,53.820574810000004,-3.01281879,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
178,RXM,Y60,QJ2,52.91830586666667,-1.5128958333333333,Derbyshire Healthcare NHS Foundation Trust,22/23 Standards Met,26/06/2023,NHS Trust,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
179,RXN,Y62,QE1,53.79104885,-2.706304775,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
180,RXP,Y63,QHM,54.5306627,-1.5636355,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,22/23 Standards Exceeded,27/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
181,RXQ,Y59,QU9,51.6629999,-0.62143,Buckinghamshire Healthcare NHS Trust,22/23 Approaching Standards,18/08/2023,NHS Trust,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
182,RXR,Y62,QE1,53.7359807,-2.4635709,EAST LANCASHIRE HOSPITALS NHS TRUST,22/23 Standards Met,28/07/2023,NHS Trust,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
183,RXT,Y60,QHL,52.4842588,-1.9175124399999999,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
184,RXV,Y62,QOP,53.533573133333334,-2.295755333333333,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,22/23 Standards Exceeded,11/07/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
185,RXW,Y60,QOC,52.70870155714286,-2.793561857142857,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
186,RXX,Y59,QXU,51.29759,-0.33563,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
187,RXY,Y59,QKS,51.2725763,0.4866078,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
188,RY2,Y62,QYG,53.41408441666667,-2.528533,Bridgewater Community Healthcare NHS Foundation Trust,22/23 Standards Met,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
189,RY3,Y61,QMM,52.6341417,1.2625801,Norfolk Community Health and Care NHS Trust,22/23 Standards Met,26/06/2023,NHS Trust,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
190,RY4,Y61,QM7,51.8021534,-0.19420635,Hertfordshire Community NHS Trust (RY4),22/23 Standards Met,29/06/2023,NHS Trust,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
191,RY5,Y60,QJM,53.22647,-0.52415,Lincolnshire Community Health Services NHS Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
192,RY6,Y63,QWO,53.8162127,-1.5669367,Leeds Community Healthcare NHS Trust,22/23 Standards Met,27/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
193,RY7,Y62,QYG,53.38003,-3.02653,Wirral Community Health and Care NHS Foundation Trust,22/23 Standards Met,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
194,RY8,Y60,QJ2,53.2396699,-1.4794799,Derbyshire Community Health Services NHS Trust (East Midlands),22/23 Standards Met,27/06/2023,NHS Trust,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
195,RY9,Y56,QWE,51.4274499,-0.3264749375,Hounslow and Richmond Community Healthcare NHS Trust,22/23 Standards Met,22/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
196,RYA,Y60,QUA,52.48565,-2.11905,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
197,RYC,Y61,QUE,52.0766227,0.0141455,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,22/23 Standards Met,23/06/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
198,RYD,Y59,QNX,51.1326943,-0.16870015,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,22/23 Approaching Standards,02/08/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
199,RYE,Y59,QU9,51.89152508,-1.1498000400000001,SOUTH CENTRAL AMBULANCE SERVICE NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
200,RYF,Y58,QJK,50.7203945,-3.464713725,SOUTH WESTERN AMBULANCE SERVICE NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS DEVON INTEGRATED CARE BOARD
201,RYG,Y60,QWU,52.45659,-1.48692,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
202,RYJ,Y56,QRV,51.5174679,-0.1753826,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,22/23 Standards Met,20/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
203,RYK,Y60,QUA,52.48176,-2.11786,Dudley Integrated Health and Care NHS Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
204,RYR,Y59,QNX,50.8165963,-0.36371065,University Hospitals Sussex NHS Foundation Trust,22/23 Approaching Standards,21/07/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
205,RYV,Y61,QUE,52.3210626,-0.06381456666666667,Cambridgeshire Community Services NHS Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
206,RYW,Y60,QHL,52.4875426,-1.88628205,Birmingham Community Healthcare NHS Foundation Trust,22/23 Approaching Standards,27/06/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
207,RYX,Y56,QRV,51.52284,-0.15154,Central London Community Healthcare NHS Trust,22/23 Standards Met,28/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
208,RYY,Y59,QKS,51.17165272,0.87097458,Kent Community Health NHS Foundation Trust,22/23 Standards Met,27/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
209,TAD,Y63,QWO,53.83967,-1.78861,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
210,TAF,Y56,QMJ,51.5358656,-0.13167885,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
211,TAH,Y63,QF7,53.399947,-1.4409362,Sheffield Health & Social Care NHS Foundation Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
212,TAJ,Y60,QUA,52.50842,-2.0844999,Black Country Healthcare NHS Foundation Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
